NA-105,Faisalabad,Punjab,Muhammad Masood Nazir,IND,11569
NA-105,Faisalabad,Punjab,Raza Nasrullah,IND,4336
NA-106,Faisalabad,Punjab,Nisar ahmed jutt,PTI,5080
NA-106,Faisalabad,Punjab,Rana Sanaullah Khan,PML-N,4214
NA-107,Faisalabad,Punjab,Khurram Shehzad,PTI,9877
NA-107,Faisalabad,Punjab,Haji Muhammad Akram Ansari,PML-N,7614
NA-108,Faisalabad,Punjab,Chaudhary Abid Sher Ali,PML-N,7022
NA-108,Faisalabad,Punjab,Farrukh Habib,PTI,6542
NA-109,Faisalabad,Punjab,Faiz ullah Kamoka,PTI,118
NA-109,Faisalabad,Punjab,Mian Abdul Mannan,PML-N,116
NA-110,Faisalabad,Punjab,Raja Riaz Ahmed,PTI,12620
NA-110,Faisalabad,Punjab,Rana Muhammad Afzal Khan,PML-N,12598
NA-111,Toba Tek Singh,Punjab,Chaudhary Khalid Javed,PML-N,10263
NA-111,Toba Tek Singh,Punjab,Usama Hamza,PTI,5952
NA-112,Toba Tek Singh,Punjab,Muhammad Junaid Anwar Chaudhry,PML-N,8128
NA-112,Toba Tek Singh,Punjab,Muhammad Ashfaq,PTI,7697
NA-113,Toba Tek Singh,Punjab,Muhammad Riaz Khan,PTI,9284
NA-113,Toba Tek Singh,Punjab,Chaudhary Asad Ur Rehman,PML-N,6789
NA-114,Jhang,Punjab,Sahibzada Muhammad Mehboob Sultan,PTI,15923
NA-114,Jhang,Punjab,Makhdoom Syed Faisal Saleh Hayat,PPPP,9466
NA-114,Jhang,Punjab,Aleesha Iftikhar,IND,6556
NA-115,Jhang,Punjab,Ghulam Bibi,PTI,10279
NA-115,Jhang,Punjab,Muhammad Ahmad,IND,10164
NA-115,Jhang,Punjab,Waqas Akram,IND,75
NA-116,Jhang,Punjab,Muhammad Asif Muavia,IND,395
NA-116,Jhang,Punjab,Muhammad Ameer Sultan,PTI,331
NA-117,Nankana Sahib,Punjab,Ch. Bilal Ahmad Virk,PTI,2055
NA-117,Nankana Sahib,Punjab,Tariq Mehmood Bajwa,IND,1047
NA-118,Nankana Sahib,Punjab,Shezra Mansab Ali,PML-N,11992
NA-118,Nankana Sahib,Punjab,Ijaz Ahmad Shah,PTI,8358
NA-118,Nankana Sahib,Punjab,Syed Afzaal Hussain Rizvi,TLP,607
NA-119,Sheikhupura,Punjab,Rahat Aman Ullah Bhatti,PTI,20442
NA-119,Sheikhupura,Punjab,Rana Afzaal Hussain,PML-N,15876
NA-121,Sheikhupura,Punjab,Muhammad Saeed Virk,PTI,724
NA-121,Sheikhupura,Punjab,Javed Latif,PML-N,687
NA-122,Sheikhupura,Punjab,Muhammad Arfan Dogar,PML-N,4451
NA-122,Sheikhupura,Punjab,Ali Salman,PTI,2683
NA-123,Lahore,Punjab,Muhammad Malik Riaz,PML-N,5511
NA-123,Lahore,Punjab,Meher Wajid Azeem,PTI,5065
NA-124,Lahore,Punjab,Hamza Shehbaz Sharif,PML-N,14336
NA-124,Lahore,Punjab,Nauman Qaiser,PTI,8277
NA-125,Lahore,Punjab,Waheed Alam Khan,PML-N,2760
NA-125,Lahore,Punjab,Yasmeen Rashid,PTI,1056
NA-126,Lahore,Punjab,Hammad Azhar,PTI,17874
NA-126,Lahore,Punjab,Mehr Ishtiaq Ahmed,PML-N,15436
NA-128,Lahore,Punjab,Sheikh Rohail Asgher,PML-N,88
NA-128,Lahore,Punjab,Aijaz Ahmed,PTI,41
NA-129,Lahore,Punjab,Sardar Ayaz Sadiq,PML-N,225
NA-129,Lahore,Punjab,Abdul Aleem Khan,PTI,140
NA-130,Lahore,Punjab,Shafqat Mehmood,PTI,447
NA-130,Lahore,Punjab,Khwaja Ahmed Hassan,PML-N,209
NA-131,Lahore,Punjab,Imran Ahmad Khan Niazi,PTI,1687
NA-131,Lahore,Punjab,Khawaja Saad Rafique,PML-N,474
NA-133,Lahore,Punjab,Ejaz Ahmed Choudhry,PTI,4498
NA-133,Lahore,Punjab,Muhammad Pervaiz Malik,PML-N,4083
NA-135,Lahore,Punjab,Malik Saif Ul Mulook Khokhar,PML-N,5516
NA-135,Lahore,Punjab,Malik Karamat Ali Khokhar,PTI,5510
NA-136,Lahore,Punjab,Malik Asad Ali Khokhar,PTI,5731
NA-136,Lahore,Punjab,Malik Muhamad Afzal Khokhar,PML-N,2541
NA-136,Lahore,Punjab,Jamil Ahmed,PPPP,39
NA-138,Kasur,Punjab,Rasheed Ahmed Khan,PML-N,2314
NA-138,Kasur,Punjab,Sardar Rashid Tufail,PTI,1267
NA-139,Kasur,Punjab,Azeem ud din Zahid,PTI,3957
NA-139,Kasur,Punjab,Rana Muhammad Ishaq Khan,PML-N,3726
NA-140,Kasur,Punjab,Sardar Talib Hassan Nakai,PTI,5609
NA-140,Kasur,Punjab,Rana Muhammad Hayat Khan,PML-N,3402
NA-141,Okara,Punjab,Nadeem Abbas Rabera,PML-N,1462
NA-141,Okara,Punjab,Syed Samsan Shah Bukhari,PTI,638
NA-142,Okara,Punjab,Ch Riaz ul Haq juj,PML-N,13651
NA-142,Okara,Punjab,Rao Hassan Sikandar,PTI,6365
NA-143,Okara,Punjab,Rao Muhammad Ajmal Khan,PML-N,477
NA-143,Okara,Punjab,Syed Gulzar Sibtain Shah,PTI,296
NA-144,Okara,Punjab,Mian Manzoor Ahmed Khan Watto,IND,10505
NA-144,Okara,Punjab,Muhammad Moin Khan Watto,PML-N,5495
NA-145,Pakpattan,Punjab,Ahmed Raza Khan Manika,PML-N,8465
NA-145,Pakpattan,Punjab,Sardar Mansab Ali Dogger,IND,3729
NA-146,Pakpattan,Punjab,Rana Iradat Sharif Khan,IND,8647
NA-146,Pakpattan,Punjab,Muhammad Amjad Joiya,PTI,3538
NA-147,Sahiwal,Punjab,Chuadhry Naveer Shakoor,PTI,5382
NA-148,Sahiwal,Punjab,Chaudhry Muhammad Ashraf,PML-N,6333
NA-148,Sahiwal,Punjab,Malik Muhammad yar Dhakoo,PTI,2971
NA-149,Sahiwal,Punjab,Muhammad Tufail,PML-N,11977
NA-149,Sahiwal,Punjab,Rai Muhammad Murtaza Iqbal,PTI,10122
NA-150,Khanewal,Punjab,Syed Fakhar Imam,IND,4397
NA-150,Khanewal,Punjab,Muhammad Raza Hayat Hiraj,PTI,4029
NA-151,Khanewal,Punjab,Sardar Ahmed Yar Hiraj,PTI,2449
NA-151,Khanewal,Punjab,Muhammad Khan Daha,PML-N,2021
NA-152,Khanewal,Punjab,Peer Aslam Bodla,PML-N,4991
NA-152,Khanewal,Punjab,Zahoor Hussain Qureshi,PTI,4819
NA-153,Khanewal,Punjab,Chaudry Iftikhar Nazir,PML-N,4546
NA-153,Khanewal,Punjab,Malik Ghulam Murtaza Matila,PTI,3196
NA-154,Multan,Punjab,Sikandar Hayat Khan Bosan,IND,12075
NA-154,Multan,Punjab,Syed Abdul Qadir Gilani,PPPP,7198
NA-154,Multan,Punjab,Ahmed Hussain Dehr,PTI,398
NA-155,Multan,Punjab,Malik Mohammad Amir Dogar,PTI,8105
NA-155,Multan,Punjab,Sheikh Muhammad Tariq Rasheed,PML-N,6966
NA-156,Multan,Punjab,Makhdoom Shah Mehmood Qureshi,PTI,15113
NA-156,Multan,Punjab,Amir Saeed Ansari,PML-N,11288
NA-157,Multan,Punjab,Syed Ali Moosa Gilani,PPPP,4230
NA-157,Multan,Punjab,Zain Qureshi,PTI,3652
NA-157,Multan,Punjab,Malik Abdul Gaffar Dogar,PML-N,2220
NA-158,Multan,Punjab,Syed Yousuf Raza Gilani,PPPP,18219
NA-158,Multan,Punjab,Syed Jawaid Ali Shah,PML-N,16685
NA-158,Multan,Punjab,Muhammad Ibrahim Khan,PTI,4193
NA-159,Multan,Punjab,Rana Muhammad Qasim Noon,PTI,4313
NA-159,Multan,Punjab,Muhammad Zulqarnain Bukhari,PML-N,3715
NA-160,Lodhran,Punjab,Abdul Rehman Khan kanchu,PML-N,10268
NA-160,Lodhran,Punjab,Muhammd Akhtar Kanchu,PTI,9378
NA-161,Lodhran,Punjab,Khan Muhammad Siddique Khan Baloch,PML-N,1596
NA-162,Vehari,Punjab,Chuadhary Faqir Ahmad Arain,PML-N,3983
NA-162,Vehari,Punjab,Ayesha Nazir Jatt,IND,3529
NA-163,Vehari,Punjab,Syed Sajid Mehdi,PML-N,1099
NA-163,Vehari,Punjab,Ishaq Khan Khakwani,PTI,517
NA-163,Vehari,Punjab,Natasha Daultana,PPPP,32
NA-164,Vehari,Punjab,Tahir Iqbal Chuadhry,PTI,3613
NA-164,Vehari,Punjab,Begum Tehmina Doultana,PML-N,3110
NA-165,Vehari,Punjab,Aurangzeb Khan Khichi,PTI,4102
NA-165,Vehari,Punjab,Saeed Ahmad Khan Manais,PML-N,2172
NA-166,Bahawalnagar,Punjab,Muhammad Abdul Ghafar Wattoo,IND,997
NA-166,Bahawalnagar,Punjab,Syed Muhammad Asghar,PTI,469
